"ID","basionymID","scientificName","authorship","rank","uninomial","genus","specificEpithet","infraspecificEpithet","referenceID","publishedInPage","publishedInYear","code","status","remarks","link"
"3836","3836","Pterophoroidea","Kuznetzov & Stekolnikov, 1979","superfamily","Pterophoroidea",,,,"1905",,"1979","ICZN","established",,
"5","5","Pterophoridae","Zeller, 1841","family","Pterophoridae",,,,"1824","755","1841","ICZN","established",,"https://www.biodiversitylibrary.org/page/13238931"
"7","7","Ochyroticinae","Wasserthal, 1970","subfamily","Ochyroticinae",,,,"1751","205","1970","ICZN","established",,
"16","16","Macropiratidae","Meyrick, 1932","family","Macropiratidae",,,,"1217","248","1932","ICZN","established",,
"268","268","Ochyrotica","Walsingham, 1891","genus","Ochyrotica",,,,"1731","217","1891","ICZN","established",,"https://www.biodiversitylibrary.org/page/9013634"
"270","270","Steganodactyla","Walsingham, 1891","genus","Steganodactyla",,,,"1731","241","1891","ICZN","established",,"https://www.biodiversitylibrary.org/page/9013658"
"271","271","Ochyrotica fasciata","Walsingham, 1891","species",,"Ochyrotica","fasciata",,"1731","218","1891","ICZN","established",,"https://www.biodiversitylibrary.org/page/9013634"
"273","273","Ochyrotica mexicana","Arenberger, 1990","species",,"Ochyrotica","mexicana",,"94","238","1990","ICZN","established",,
"275","275","Ochyrotica placozona","Meyrick, 1921","species",,"Ochyrotica","placozona",,"1189","423","1921","ICZN","established",,
"277","277","Ochyrotica gielisi","Arenberger, 1990","species",,"Ochyrotica","gielisi",,"94","242","1990","ICZN","established",,
"279","280","Ochyrotica cretosa","(Durrant, 1915)","species",,"Ochyrotica","cretosa",,"489","163","1916","ICZN","established",,
"280","280","Steganodactyla cretosa","Durrant, 1915","species",,"Steganodactyla","cretosa",,"489","163","1916","ICZN","established",,
"281","281","Ochyrotica buergersi","Gaede, 1916","species",,"Ochyrotica","buergersi",,"634","81","1916","ICZN","established",,
"283","284","Ochyrotica concursa","(Walsingham, 1891)","species",,"Ochyrotica","concursa",,"1731","241","1891","ICZN","established",,"https://www.biodiversitylibrary.org/page/9013658"
"284","284","Steganodactyla concursa","Walsingham, 1891","species",,"Steganodactyla","concursa",,"1731","241","1891","ICZN","established",,"https://www.biodiversitylibrary.org/page/9013658"
"3060","3060","Agdistopis","Hampson, 1917","genus","Agdistopis",,,,"813","43","1917","ICZN","established",,
"3062","3062","Macropiratis","Meyrick, 1932","genus","Macropiratis",,,,"1217","248","1932","ICZN","established",,
"3063","3064","Agdistopis halieutica","(Meyrick, 1932)","species",,"Agdistopis","halieutica",,"1217","249","1932","ICZN","established",,
"3064","3064","Macropiratis halieutica","Meyrick, 1932","species",,"Macropiratis","halieutica",,"1217","249","1932","ICZN","established",,
"3065","3066","Agdistopis sinhala","(Fletcher, 1909)","species",,"Agdistopis","sinhala",,"585","8","1909","ICZN","established",,https://www.biodiversitylibrary.org/page/59021973
"3066","3066","Agdistis sinhala","Fletcher, 1909","species",,"Agdistis","sinhala",,"585","8","1909","ICZN","established",,https://www.biodiversitylibrary.org/page/59021973
"3067","3067","Agdistopis petrochroa","Hampson, 1917","species",,"Agdistopis","petrochroa",,"813","44","1917","ICZN","established",,
"3068","3068","Macropiratis heteromantis","Meyrick, 1932","species",,"Macropiratis","heteromantis",,"1217","249","1932","ICZN","established",,
"3069","3069","Agdistopis griveaudi","Gibeaux, 1994","species",,"Agdistopis","griveaudi",,"679","10","1994","ICZN","established",,https://hobern.net/stangeia/?p=71
