ID,author,title,year,source,details,link
94,"Arenberger, E.",Die bisher bekannten Ochyrotica-Arten Mittel-und Südamerikas,1990,"Ent. Z., Frankf. a. M.",100: 233-243,
489,"Durrant, J.H.","Reports on the collections made by the British Ornithologists Union Expedition and the Wollaston Expedition in Dutch New Guinea, 1910-1913",1915,,2: 163-164,
490,"Dyar, H.G.",Relationship of Pyralidae and Pterophoridae from the larvae,1895,Ent. News,6: 38‑40,
585,"Fletcher, T.B.",The plume-moths of Ceylon,1909,Spolia Zeylanica,"6: 1-39, 5 pl.",https://www.biodiversitylibrary.org/page/59021966
634,"Gaede, M.",Ochyrotica Bürgersi n. sp,1916,Intern. Ent. Z.,10 (15): 81,
679,"Gibeaux, C.",Insectes Lépidoptères: Pterophoridae,1994,Faune de Madagascar,"81: 1-176, 316 figs.",
813,"Hampson, G.F.","A classification of the Pyralidae, subfamily Gallerianae",1917,Novit. zool.,24: 17-58,https://www.biodiversitylibrary.org/page/3151852
1189,"Meyrick, E.",Exotic Microlepidoptera,1921,,2: 417-448,
1217,"Meyrick, E.",Exotic Microlepidoptera,1932,,4: 225-256,
1731,"Walsingham, T. de Grey",New genera of Agdistidae and Pterophoridae,1891,Entomologist's mon. Mag.,"27: 216-218, 241-243, 259-262",https://www.biodiversitylibrary.org/page/9013633
1751,"Wasserthal, L.T.",Funktion und Entwicklung der Flügel der Federmotten,1974,Zeitschr. zur Morphologie der Tiere,77: 127-155,https://www.researchgate.net/publication/241040363_Funktion_und_entwicklung_der_flgel_der_federmotten_Lepidoptera_Pterophoridae
1824,"Zeller, P.C.",Verzeichniss der vom Prof. Dr Loew in der Türkeij und Asien gesammelten Lepidoptera,1847,Isis von Oken,40: 3-39,
1905,"Kuznetzov V.I. & Stekolnikov A.A.","Classification and Phylogenetic Relationships of the Families and Subfamilies of the Pyraloidea (Lepidoptera) of the Palaearctic Fauna with regard of functional Morphology of the male Genitalia",1979,Trudy zool. inst. Leningrad,82: 43-74,
