ID,parentID,nameID,scrutinizer,scrutinizerDate,referenceID,extinct,temporalRangeEnd,lifezone,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,genus,species,remarks
3836,4,3836,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,,,,,,
5,3836,5,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,,,,,
7,5,7,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Ochyroticinae,,,,
268,7,268,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Ochyroticinae,,Ochyrotica,,
271,268,271,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Ochyroticinae,,Ochyrotica,Ochyrotica fasciata,
273,268,273,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Ochyroticinae,,Ochyrotica,Ochyrotica mexicana,
275,268,275,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Ochyroticinae,,Ochyrotica,Ochyrotica placozona,
277,268,277,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Ochyroticinae,,Ochyrotica,Ochyrotica gielisi,
279,268,279,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Ochyroticinae,,Ochyrotica,Ochyrotica cretosa,
281,268,281,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Ochyroticinae,,Ochyrotica,Ochyrotica buergersi,
283,268,283,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Ochyroticinae,,Ochyrotica,Ochyrotica concursa,
16,3836,16,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Macropiratidae,,,,,
3060,16,3060,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Macropiratidae,,,Agdistopis,,
3063,3060,3063,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Macropiratidae,,,Agdistopis,Agdistopis halieutica,
3065,3060,3065,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Macropiratidae,,,Agdistopis,Agdistopis sinhala,
3069,3060,3069,"Gielis, C. & Hobern, D.",2020-07-16,,FALSE,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Macropiratidae,,,Agdistopis,Agdistopis griveaudi,
